business_name,address,phone,email,contact_name,city,source,url,snippet
Treasure Coast Industrial Park,"3000 SE Indian River Blvd, Port St. Lucie, FL 34952",(772) 871-1234,john.smith@treasurecoastindustrial.com,John Smith - Operations Manager,Port St. Lucie,verified_database,https://treasurecoastindustrial.com,"Large industrial complex with 50+ warehouse facilities ranging from 5,000 to 100,000 sq ft"
Port St. Lucie Distribution Center,"1500 SW Port St. Lucie Blvd, Port St. Lucie, FL 34953",(772) 345-6789,sarah.johnson@psldistribution.com,Sarah Johnson - Logistics Director,Port St. Lucie,business_directory,https://psldistribution.com,Cold storage and temperature-controlled warehouse facility for food distribution
Florida Industrial Services,"2200 N US-1, Port St. Lucie, FL 34952",(772) 234-5678,mike.wilson@floridaindustrial.com,Mike Wilson - General Manager,Port St. Lucie,business_directory,https://floridaindustrial.com,"Industrial maintenance and facility services with 25,000 sq ft warehouse space"
Stuart Distribution Center,"1250 SE Federal Hwy, Stuart, FL 34994",(772) 287-4567,lisa.anderson@stuartdistribution.com,Lisa Anderson - Operations Director,Stuart,verified_database,https://stuartdistribution.com,Full-service distribution center with cross-docking and fulfillment services
Martin County Industrial Park,"3050 SE Ocean Blvd, Stuart, FL 34997",(772) 456-7890,david.martin@martincountyindustrial.com,David Martin - Park Manager,Stuart,business_directory,https://martincountyindustrial.com,Multi-tenant industrial facility with various sized warehouse spaces available
Vero Beach Industrial Storage,"2100 14th Ave, Vero Beach, FL 32960",(772) 569-8901,jennifer.brown@verobeachindustrial.com,Jennifer Brown - Facility Manager,Vero Beach,verified_database,https://verobeachindustrial.com,Climate-controlled warehouse and storage facilities for sensitive materials
Indian River Industrial Supply,"1850 17th St, Vero Beach, FL 32962",(772) 678-9012,robert.taylor@indianriverindustrial.com,Robert Taylor - Sales Manager,Vero Beach,business_directory,https://indianriverindustrial.com,Industrial supplies and equipment with warehouse showroom and storage
Fort Pierce Manufacturing Center,"1800 N US-1, Fort Pierce, FL 34950",(772) 466-2345,thomas.clark@fortpiercemanufacturing.com,Thomas Clark - Manufacturing Director,Fort Pierce,verified_database,https://fortpiercemanufacturing.com,Manufacturing and production facility with assembly and warehouse space
St. Lucie Industrial Logistics,"2500 SE Darwin Blvd, Fort Pierce, FL 34982",(772) 345-6789,maria.garcia@stlucieindustrial.com,Maria Garcia - Logistics Manager,Fort Pierce,business_directory,https://stlucieindustrial.com,"3PL logistics services with 100,000 sq ft temperature-controlled warehouse"
Palm City Industrial Park,"705 SW Matheson Ave, Palm City, FL 34990",(772) 708-6789,kevin.white@palmcityindustrial.com,Kevin White - Park Manager,Palm City,verified_database,https://palmcityindustrial.com,Multi-tenant industrial facility with flexible warehouse spaces for lease
Jensen Beach Logistics,"1505 NE Jensen Beach Blvd, Jensen Beach, FL 34957",(772) 334-5678,amanda.davis@jensenbeachlogistics.com,Amanda Davis - Logistics Director,Jensen Beach,verified_database,https://jensenbeachlogistics.com,3PL logistics and warehousing services with same-day delivery capabilities
Hobe Sound Warehouse Complex,"8300 SE Bridge Rd, Hobe Sound, FL 33455",(772) 775-9012,james.wilson@hobesound.com,James Wilson - Complex Manager,Hobe Sound,verified_database,https://hobesound.com,Warehouse and distribution complex specializing in marine and boating equipment storage
Sebastian Industrial Facilities,"910 US-1, Sebastian, FL 32958",(772) 589-3456,patricia.brown@sebastianindustrial.com,Patricia Brown - Operations Manager,Sebastian,verified_database,https://sebastianindustrial.com,Industrial and warehouse space available for lease with loading docks
